Picked,Team,Town,Code,Leage,Field,Rand,Done
1,"Albany, MN","Albany, MN",ALBA,MSHSL,Y,0.9237763015,x
1,"Anoka, MN","Anoka, MN",ANOK,MSHSL,Y,0.9688263318,x
1,"Blue Earth Area, MN","Blue Earth Area, MN",BEA,MSHSL,Y,0.9678208524,x
1,"Buffalo, MN","Buffalo, MN",BUFF,MSHSL,Y,0.9274155657,x
1,"Centennial, MN","Centennial, MN",CENT,MSHSL,N,0.9366847756,x
1,"Chatfield, MN","Chatfield, MN",CHAT,MSHSL,Y,0.9178299359,x
1,"Dassel-Cokato-Litchfield, MN","Dassel-Cokato/Litchfield, MN",DCL,MSHSL,Y,0.1619911099,x
1,"Dilworth-Glyndon-Felton, MN","Dilworth-Glyndon-Felton, MN",DGF,MSHSL,Y,0.9344257253,x
1,"Elk River, MN","Elk River, MN",ELRI,MSHSL,N,0.908346326,x
1,"Faribault, MN","Faribault, MN",FARI,MSHSL,Y,0.9957237082,
1,"Farmington, MN","Farmington, MN",FARM,MSHSL,Y,0.9818449423,x
1,"Foley, MN","Foley, MN",FOLE,MSHSL,Y,0.9576531805,x
1,"Henry Sibley, MN","Henry Sibley, MN",HESI,MSHSL,Y,0.1504574897,x
1,"Lake City, MN","Lake City, MN",LACI,MSHSL,Y,0.9163219391,x
1,"Lewiston-Altura-Rushford-Peterson, MN","Lewiston-Altura-Rushford-Peterson , MN",LARP,MSHSL,N,0.9813493362,x
1,"Luverne, MN","Luverne, MN",LUVE,MSHSL,Y,0.9829489095,x
1,"Minneapolis Edison, MN","Minneapolis Edison, MN",MIED,MSHSL,N,0.9465517744,x
1,"Monticello, MN","Monticello, MN",MONT,MSHSL,Y,0.9276043426,x
1,"Mora, MN","Mora, MN",MORA,MSHSL,N,0.9135688949,x
1,"Osseo, MN","Osseo, MN",OSSE,MSHSL,Y,0.9097506707,x
1,"Perham, MN","Perham, MN",PERH,MSHSL,Y,0.9224202377,x
1,"Pine Island, MN","Pine Island, MN",PIIS,MSHSL,Y,0.9620266743,x
1,"Proctor-Hermantown, MN","Proctor-Hermantown, MN",PRHE,MSHSL,Y,0.9004888207,x
1,"Rosemount, MN","Rosemount, MN",RSMT,MSHSL,Y,0.06873630478,x
1,"Scott West, MN","Scott West, MN",SCWE,MSHSL,Y,0.9226751147,x
1,"Springfield, MN","Springfield, MN",SPRF,MSHSL,Y,0.9444875586,x
1,"St. Paul Como Park, MN","St. Paul Como Park, MN",SPCP,MSHSL,N,0.9301759628,x
1,"St. Paul Harding, MN","St. Paul Harding, MN",SPH,MSHSL,Y,0.934432438,x
1,"Stillwater, MN","Stillwater, MN",STW,MSHSL,Y,0.9083740679,x
1,"Tartan, MN","Tartan, MN",TART,MSHSL,N,0.9089025155,x
1,"Trinity School at River Ridge, MN","Trinity School at River Ridge, MN",TSAR,MSHSL,N,0.9397476039,x
0,"Adrian Area, MN","Adrian Area, MN",ADAR,MSHSL,Y,0.2654949842,
0,"Aitkin, MN","Aitkin, MN",AITK,MSHSL,N,0.4318388381,
0,"Albert Lea Area, MN","Albert Lea Area, MN",ALA,MSHSL,N,0.4855791928,
0,"Alexandria Area, MN","Alexandria Area, MN",ALAR,MSHSL,Y,0.1089826321,
0,"All Saints Home School, MN","All Saints Home School, MN",ASHS,MSHSL,Y,0.4634634009,
0,"Andover, MN","Andover, MN",ANDO,MSHSL,Y,0.8523110718,
0,"Annand-M Lk Lightning, MN","Annand-M Lk Lightning, MN",AMLL,MSHSL,N,0.8890601131,
0,"Apple Valley, MN","Apple Valley, MN",APVA,MSHSL,Y,0.3448433758,
0,"Atwater-Cosmos-Grove City, MN","Atwater-Cosmos-Grove City, MN",ACGC,MSHSL,N,0.243963698,
0,"Austin, MN","Austin, MN",AUST,MSHSL,Y,0.5938682982,
0,"Badger-GB-MR, MN","Badger-GB-MR, MN",BGM,MSHSL,N,0.6583952495,
0,"Barnesville, MN","Barnesville, MN",BARN,MSHSL,Y,0.5415863474,
0,"Becker, MN","Becker, MN",BECK,MSHSL,Y,0.4284752979,
0,"Belgrade-Brooten-Elrosa, MN","Belgrade-Brooten-Elrosa, MN",BBE,MSHSL,Y,0.3099542358,
0,"Bemidji, MN","Bemidji, MN",BEMI,MSHSL,N,0.652922221,
0,"Benilde St. Margarets, MN","Benilde St. Margarets, MN",BSM,MSHSL,Y,0.02549264674,
0,"Benson, MN","Benson, MN",BENS,MSHSL,N,0.4795058618,
0,"Bertha-Hewitt- Verndale -Parkers Prairie, MN","Bertha-Hewitt- Verndale -Parkers Prairie, MN",BHVP,MSHSL,Y,0.01569764706,
0,"Big Lake, MN","Big Lake, MN",BILA,MSHSL,Y,0.8755570657,
0,"Blackduck-Cass Lake Bena Bears, MN","Blackduck-Cass Lake Bena Bears, MN",BCLB,MSHSL,Y,0.2854883098,
0,"Blaine, MN","Blaine, MN",BLAI,MSHSL,N,0.5384517741,
0,"Bloomington Kennedy, MN","Bloomington Kennedy, MN",BLKE,MSHSL,Y,0.6191018556,
0,"BOLD, MN","Bold, MN",BOLD,MSHSL,Y,0.7755630815,
0,"Border West Buccaneers, MN","Border West Buccaneers, MN",BWB,MSHSL,Y,0.7567030386,
0,"Brainerd, MN","Brainerd, MN",BRAI,MSHSL,Y,0.76072032,
0,"Breckenridge, MN","Breckenridge, MN",BREC,MSHSL,N,0.2764152346,
0,"Brooklyn Center-Concordia Acad, MN","Brooklyn Center-Concordia Acad, MN",BCCA,MSHSL,Y,0.4496462822,
0,"Burnsville, MN","Burnsville , MN",BURN,MSHSL,N,0.1743616505,
0,"Byron, MN","Byron, MN",BYRO,MSHSL,N,0.3193575065,
0,"C-E-C Lumberjacks, MN","C-E-C Lumberjacks, MN",CECL,MSHSL,N,0.6983925913,
0,"Caledonia-Houston, MN","Caledonia-Houston, MN",CAHO,MSHSL,Y,0.2069755995,
0,"Cambridge-Isanti, MN","Cambridge-Isanti, MN",CAIS,MSHSL,Y,0.07728300072,
0,"Canby, MN","Canby, MN",CANB,MSHSL,Y,0.8391370484,
0,"Cannon Falls, MN","Cannon Falls, MN",CAFA,MSHSL,Y,0.6991385456,
0,"Champlin Park, MN","Champlin Park, MN",CHPA,MSHSL,Y,0.6484964447,
0,"Chaska-Chan Stormhawks, MN","Chaska-Chan Stormhawks, MN",CCS,MSHSL,Y,0.6765670498,
0,"Chisago Lakes, MN","Chisago Lakes, MN",CHLA,MSHSL,Y,0.4667961706,
0,"Columbia Heights, MN","Columbia Heights, MN",COHE,MSHSL,N,0.7719764565,
0,"Coon Rapids, MN","Coon Rapids, MN",CORA,MSHSL,Y,0.606230504,
0,"Cretin-Derham Hall, MN","Cretin-Derham Hall, MN",CDH,MSHSL,Y,0.2605092478,
0,"Crookston, MN","Crookston, MN",CROO,MSHSL,Y,0.05788254365,
0,"Crosby-Ironton, MN","Crosby-Ironton, MN",CRIR,MSHSL,N,0.8709709709,
0,"Dassel-Cokato, MN","Dassel-Cokato, MN",DACO,MSHSL,N,0.9628972784,
0,"Dawson-Boyd - Lac Qui Parle - Montevideo United, MN","Dawson-Boyd - Lac Qui Parle - Montevideo United, MN",DBLQ,MSHSL,N,0.3886206036,
0,"Deer River, MN","Deer River, MN",DERI,MSHSL,N,0.8402823623,
0,"Delano, MN","Delano, MN",DELA,MSHSL,Y,0.3580146083,
0,"Detroit Lakes, MN","Detroit Lakes, MN",DL,MSHSL,Y,0.7206432526,
0,"Dover-Eyota, MN","Dover-Eyota, MN",DE,MSHSL,N,0.7952990545,
0,"Eagan, MN","Eagan, MN",EAGA,MSHSL,Y,0.03635057683,
0,"Eagle Valley, MN","Eagle Valley, MN",EAVA,MSHSL,N,0.8407291482,
0,"East Ridge, MN","East Ridge, MN",EARI,MSHSL,N,0.4979735225,
0,"Eastview, MN","Eastview, MN",EAST,MSHSL,Y,0.5997222705,
0,"Eden Prairie, MN","Eden Prairie, MN",EDPR,MSHSL,Y,0.455096381,
0,"Eden Valley-Watkins, MN","Eden Valley-Watkins, MN",EVW,MSHSL,Y,0.2275575613,
0,"Edina, MN","Edina, MN",EDIN,MSHSL,N,0.4704965154,
0,"Fairmont-Martin County West, MN","Fairmont-Martin County West, MN",FMCW,MSHSL,Y,0.4812100142,
0,"Fergus Falls, MN","Fergus Falls, MN",FEFA,MSHSL,N,0.7669156475,
0,"Fertile-Beltrami, MN","Fertile-Beltrami, MN",FEBE,MSHSL,N,0.1975102082,
0,"Fillmore C-Lanesboro-M-C Wolves, MN","Fillmore C-Lanesboro-M-C Wolves, MN",FCLM,MSHSL,Y,0.5970153189,
0,"Forest Lake, MN","Forest Lake, MN",FOLA,MSHSL,Y,0.6479947548,
0,"Fosston-Bagley, MN","Fosston-Bagley, MN",FOBA,MSHSL,N,0.684006253,
0,"Frazee, MN","Frazee, MN",FRAZ,MSHSL,N,0.7520962114,
0,"Fridley, MN","Fridley, MN",FRID,MSHSL,N,0.2435542233,
0,"Fulda-Murray Cty Central, MN","Fulda-Murray Cty Central, MN",FMCC,MSHSL,N,0.1699524884,
0,"Glencoe - Lester Prairie, MN","Glencoe - Lester Prairie, MN",GLP,MSHSL,Y,0.2981761261,
0,"GMLOS, MN","Gmloks, MN",GMLO,MSHSL,N,0.07886899866,
0,"Goodhue, MN","Goodhue, MN",GOOD,MSHSL,Y,0.3792363045,
0,"Grand Rapids, MN","Grand Rapids, MN",GRRA,MSHSL,N,0.6455751331,
0,"Hastings, MN","Hastings, MN",HAST,MSHSL,Y,0.9163812345,
0,"Hibbing, MN","Hibbing, MN",HIBB,MSHSL,Y,0.3092376256,
0,"Holdingford, MN","Holdingford, MN",HOLD,MSHSL,Y,0.03748737962,
0,"Hopkins, MN","Hopkins, MN",HOPK,MSHSL,Y,0.3183333211,
0,"Howard Lake-Waverly-Winsted, MN","Howard Lake-Waverly-Winsted, MN",HLWW,MSHSL,Y,0.7870387986,
0,"Hutchinson, MN","Hutchinson, MN",HUTC,MSHSL,Y,0.3027264516,
0,"International Falls Area, MN","International Falls Area, MN",IFA,MSHSL,N,0.8594742117,
0,"Irondale, MN","Irondale, MN",IRON,MSHSL,Y,0.3975053383,
0,"Jackson County Central, MN","Jackson County Central, MN",JCC,MSHSL,Y,0.488293535,
0,"Kasson-Mantorville, MN","Kasson-Mantorville, MN",KAMA,MSHSL,Y,0.6211153624,
0,"Kenyon-Wanamingo, MN","Kenyon-Wanamingo, MN",KEWA,MSHSL,Y,0.05596086897,
0,"Kerkhoven-Murdock-Sunburg, MN","Kerkhoven-Murdock-Sunburg, MN",KMS,MSHSL,N,0.1626047028,
0,"Kimball Area, MN","Kimball Area, MN",KIAR,MSHSL,Y,0.0470324359,
0,"La Crescent-Hokah, MN","La Crescent, MN",LACR,MSHSL,N,0.02021007735,
0,"Lake Crystal Wellcome Memorial Area, MN","Lake Crystal Wellcome Memorial Area, MN",LCWM,MSHSL,Y,0.5587037933,
0,"Lakeville North, MN","Lakeville North, MN",LANO,MSHSL,N,0.5495959298,
0,"Lakeville South, MN","Lakeville South, MN",LASO,MSHSL,N,0.002695066081,
0,"LeSueur-Henderson, MN","LeSueur-Henderson, MN",LEHE,MSHSL,Y,0.6363546354,
0,"Litchfield, MN","Litchfield, MN",LITC,MSHSL,N,0.1649128553,
0,"Little Falls, MN","Little Falls, MN",LIFA,MSHSL,Y,0.8471092982,
0,"LPGE-Browerville Wolves, MN","LPGE-Browerville Wolves, MN",LBW,MSHSL,N,0.2261659158,
0,"Madelia-Truman-Martin Luther Jayhawks, MN","Madelia-Truman-Martin Luther Jayhawks, MN",MTML,MSHSL,Y,0.3516433262,
0,"MAHACA, MN","Mahaca, MN",MAHA,MSHSL,N,0.8310672734,
0,"Mahnomen-Waubun, MN","Mahnomen-Waubun, MN",MAWA,MSHSL,N,0.08188641355,
0,"Mahtomedi, MN","Mahtomedi, MN",MAHT,MSHSL,Y,0.07795867029,
0,"Mankato East, MN","Mankato East, MN",MAEA,MSHSL,Y,0.3716198222,
